Repo,Metric,Value,
v4,* Maximum size         [1],2.54 KiB,
v4,* Maximum parents      [2],2,
v4,* Trees,,
v4,* Maximum entries      [3],126,
v4,* Blobs,,
v4,* Maximum size         [4],32.8 MiB,***
v4,,,
v4,History structure,,
v4,* Maximum history depth,2.95 k,
v4,* Maximum tag depth      [5],1,
v4,,,
v4,Biggest checkouts,,
v4,* Number of directories  [6],173,
v4,* Maximum path depth     [6],7,
v4,* Maximum path length    [7],80 B,
v4,* Number of files        [6],600,
v4,* Total size of files    [8],65.6 MiB,
v4,* Number of symlinks,0,
v4,* Number of submodules,0,
umple,Name,Value,Level of concern
umple,----------------------------,---------,------------------------------
umple,Overall repository size,,
umple,* Commits,,
umple,* Count,9.44 k,
umple,* Total size,3.84 MiB,
umple,* Trees,,
umple,* Count,49.4 k,
umple,* Total size,127 MiB,
umple,* Total tree entries,2.59 M,
umple,* Blobs,,
umple,* Count,76.3 k,
umple,* Total size,1.30 GiB,
umple,* Annotated tags,,
umple,* Count,0,
umple,* References,,
umple,* Count,154,
umple,* Branches,1,
umple,* Tags,30,
umple,* Remote-tracking refs,123,
umple,,,
umple,Biggest objects,,
umple,* Commits,,
umple,* Maximum size         [1],11.6 KiB,
umple,* Maximum parents      [2],2,
umple,* Trees,,
umple,* Maximum entries      [3],1.52 k,*
umple,* Blobs,,
umple,* Maximum size         [4],11.1 MiB,*
umple,,,
umple,History structure,,
umple,* Maximum history depth,5.71 k,
umple,* Maximum tag depth,0,
umple,,,
umple,Biggest checkouts,,
umple,* Number of directories  [5],2.38 k,*
umple,* Maximum path depth     [6],13,*
umple,* Maximum path length    [6],159 B,*
umple,* Number of files        [5],24.8 k,
umple,* Total size of files    [7],233 MiB,
umple,* Number of symlinks     [8],41,
umple,* Number of submodules,0,
cni,Name,Value,Level of concern
cni,----------------------------,---------,------------------------------
cni,Overall repository size,,
cni,* Commits,,
cni,* Count,1.28 k,
cni,* Total size,637 KiB,
cni,* Trees,,
cni,* Count,2.81 k,
cni,* Total size,1.05 MiB,
cni,* Total tree entries,29.9 k,
cni,* Blobs,,
cni,* Count,2.54 k,
cni,* Total size,24.4 MiB,
cni,* Annotated tags,,
cni,* Count,18,
cni,* References,,
cni,* Count,62,
cni,* Branches,1,
cni,* Tags,50,
cni,* Remote-tracking refs,11,
cni,,,
cni,Biggest objects,,
cni,* Commits,,
cni,* Maximum size         [1],2.52 KiB,
cni,* Maximum parents      [2],2,
cni,* Trees,,
cni,* Maximum entries      [3],181,
cni,* Blobs,,
cni,* Maximum size         [4],3.45 MiB,
cni,,,
cni,History structure,,
cni,* Maximum history depth,947,
