Repo,Metric,Value,
maya,* Maximum history depth,1.61 k,
maya,* Maximum tag depth,0,
maya,,,
maya,Biggest checkouts,,
maya,* Number of directories  [5],4.83 k,**
maya,* Maximum path depth     [6],18,*
maya,* Maximum path length    [5],182 B,*
maya,* Number of files        [5],23.7 k,
maya,* Total size of files    [5],273 MiB,
maya,* Number of symlinks     [7],19,
maya,* Number of submodules,0,
openebs-docs,Name,Value,Level of concern
openebs-docs,----------------------------,---------,------------------------------
openebs-docs,Overall repository size,,
openebs-docs,* Commits,,
openebs-docs,* Count,2.67 k,
openebs-docs,* Total size,1.40 MiB,
openebs-docs,* Trees,,
openebs-docs,* Count,6.42 k,
openebs-docs,* Total size,8.21 MiB,
openebs-docs,* Total tree entries,212 k,
openebs-docs,* Blobs,,
openebs-docs,* Count,14.2 k,
openebs-docs,* Total size,173 MiB,
openebs-docs,* Annotated tags,,
openebs-docs,* Count,0,
openebs-docs,* References,,
openebs-docs,* Count,40,
openebs-docs,* Branches,1,
openebs-docs,* Remote-tracking refs,39,
openebs-docs,,,
openebs-docs,Biggest objects,,
openebs-docs,* Commits,,
openebs-docs,* Maximum size         [1],11.8 KiB,
openebs-docs,* Maximum parents      [2],2,
openebs-docs,* Trees,,
openebs-docs,* Maximum entries      [3],636,
openebs-docs,* Blobs,,
openebs-docs,* Maximum size         [4],3.52 MiB,
openebs-docs,,,
openebs-docs,History structure,,
openebs-docs,* Maximum history depth,2.01 k,
openebs-docs,* Maximum tag depth,0,
openebs-docs,,,
openebs-docs,Biggest checkouts,,
openebs-docs,* Number of directories  [5],1.19 k,
openebs-docs,* Maximum path depth     [5],10,*
openebs-docs,* Maximum path length    [5],114 B,*
openebs-docs,* Number of files        [5],19.4 k,
openebs-docs,* Total size of files    [6],91.6 MiB,
openebs-docs,* Number of symlinks     [7],41,
openebs-docs,* Number of submodules,0,
chaos-mesh,Name,Value,Level of concern
chaos-mesh,----------------------------,---------,------------------------------
chaos-mesh,Overall repository size,,
chaos-mesh,* Commits,,
chaos-mesh,* Count,2.42 k,
chaos-mesh,* Total size,2.30 MiB,
chaos-mesh,* Trees,,
chaos-mesh,* Count,15.6 k,
chaos-mesh,* Total size,7.67 MiB,
chaos-mesh,* Total tree entries,209 k,
chaos-mesh,* Blobs,,
chaos-mesh,* Count,14.8 k,
chaos-mesh,* Total size,778 MiB,
chaos-mesh,* Annotated tags,,
chaos-mesh,* Count,47,
chaos-mesh,* References,,
chaos-mesh,* Count,163,
chaos-mesh,* Branches,1,
chaos-mesh,* Tags,143,
chaos-mesh,* Remote-tracking refs,19,
chaos-mesh,,,
chaos-mesh,Biggest objects,,
chaos-mesh,* Commits,,
chaos-mesh,* Maximum size         [1],13.6 KiB,
chaos-mesh,* Maximum parents      [2],2,
chaos-mesh,* Trees,,
chaos-mesh,* Maximum entries      [3],86,
chaos-mesh,* Blobs,,
chaos-mesh,* Maximum size         [4],25.1 MiB,**
chaos-mesh,,,
chaos-mesh,History structure,,
chaos-mesh,* Maximum history depth,1.82 k,
chaos-mesh,* Maximum tag depth      [5],1,
chaos-mesh,,,
chaos-mesh,Biggest checkouts,,
chaos-mesh,* Number of directories  [6],377,
chaos-mesh,* Maximum path depth     [7],9,
chaos-mesh,* Maximum path length    [8],98 B,
chaos-mesh,* Number of files        [6],1.17 k,
chaos-mesh,* Total size of files    [9],26.9 MiB,
chaos-mesh,* Number of symlinks,0,
chaos-mesh,* Number of submodules,0,
tardis,Name,Value,Level of concern
tardis,----------------------------,---------,------------------------------
tardis,Overall repository size,,
tardis,* Commits,,
tardis,* Count,5.99 k,
tardis,* Total size,2.64 MiB,
tardis,* Trees,,
tardis,* Count,56.7 k,
tardis,* Total size,31.8 MiB,
tardis,* Total tree entries,689 k,
tardis,* Blobs,,
tardis,* Count,216 k,
tardis,* Total size,56.6 GiB,******
tardis,* Annotated tags,,
tardis,* Count,8,
tardis,* References,,
tardis,* Count,261,
tardis,* Branches,1,
tardis,* Tags,179,
tardis,* Remote-tracking refs,81,
tardis,,,
tardis,Biggest objects,,
tardis,* Commits,,
tardis,* Maximum size         [1],14.1 KiB,
tardis,* Maximum parents      [2],2,
tardis,* Trees,,
tardis,* Maximum entries      [3],255,
tardis,* Blobs,,
tardis,* Maximum size         [4],67.5 MiB,*******
tardis,,,
tardis,History structure,,
tardis,* Maximum history depth,3.54 k,
tardis,* Maximum tag depth      [5],1,
tardis,,,
tardis,Biggest checkouts,,
tardis,* Number of directories  [6],3.06 k,*
tardis,* Maximum path depth     [6],9,
tardis,* Maximum path length    [6],108 B,*
tardis,* Number of files        [6],21.9 k,
tardis,* Total size of files    [7],4.25 GiB,****
tardis,* Number of symlinks     [8],17,
tardis,* Number of submodules   [9],1,
the-turing-way,Name,Value,Level of concern
the-turing-way,----------------------------,---------,------------------------------
the-turing-way,Overall repository size,,
the-turing-way,* Commits,,
the-turing-way,* Count,16.6 k,
the-turing-way,* Total size,10.7 MiB,
the-turing-way,* Trees,,
the-turing-way,* Count,52.0 k,
the-turing-way,* Total size,32.6 MiB,
the-turing-way,* Total tree entries,825 k,
the-turing-way,* Blobs,,
the-turing-way,* Count,19.2 k,
the-turing-way,* Total size,1.28 GiB,
the-turing-way,* Annotated tags,,
the-turing-way,* Count,4,
the-turing-way,* References,,
the-turing-way,* Count,139,
the-turing-way,* Branches,1,
the-turing-way,* Tags,13,
the-turing-way,* Remote-tracking refs,125,
the-turing-way,,,
the-turing-way,Biggest objects,,
the-turing-way,* Commits,,
the-turing-way,* Maximum size         [1],4.47 KiB,
the-turing-way,* Maximum parents      [2],2,
the-turing-way,* Trees,,
the-turing-way,* Maximum entries      [3],410,
the-turing-way,* Blobs,,
the-turing-way,* Maximum size         [4],26.8 MiB,**
the-turing-way,,,
the-turing-way,History structure,,
the-turing-way,* Maximum history depth,6.59 k,
the-turing-way,* Maximum tag depth      [5],1,
the-turing-way,,,
the-turing-way,Biggest checkouts,,
the-turing-way,* Number of directories  [6],273,
the-turing-way,* Maximum path depth     [7],10,*
the-turing-way,* Maximum path length    [8],167 B,*
the-turing-way,* Number of files        [9],2.08 k,
the-turing-way,* Total size of files    [9],591 MiB,
the-turing-way,* Number of symlinks    [10],1,
the-turing-way,* Number of submodules  [11],2,
glosario,Name,Value,Level of concern
glosario,----------------------------,---------,------------------------------
glosario,Overall repository size,,
glosario,* Commits,,
glosario,* Count,2.35 k,
glosario,* Total size,1.51 MiB,
glosario,* Trees,,
glosario,* Count,2.72 k,
glosario,* Total size,2.58 MiB,
glosario,* Total tree entries,76.2 k,
glosario,* Blobs,,
glosario,* Count,2.43 k,
glosario,* Total size,393 MiB,
glosario,* Annotated tags,,
glosario,* Count,0,
glosario,* References,,
glosario,* Count,20,
glosario,* Branches,1,
glosario,* Remote-tracking refs,19,
glosario,,,
glosario,Biggest objects,,
glosario,* Commits,,
glosario,* Maximum size         [1],1.27 KiB,
glosario,* Maximum parents      [2],2,
glosario,* Trees,,
glosario,* Maximum entries      [3],264,
glosario,* Blobs,,
glosario,* Maximum size         [4],488 KiB,
glosario,,,
glosario,History structure,,
glosario,* Maximum history depth,1.19 k,
glosario,* Maximum tag depth,0,
glosario,,,
glosario,Biggest checkouts,,
glosario,* Number of directories  [5],43,
glosario,* Maximum path depth     [5],7,
glosario,* Maximum path length    [6],56 B,
glosario,* Number of files        [7],291,
glosario,* Total size of files    [5],2.37 MiB,
glosario,* Number of symlinks,0,
glosario,* Number of submodules   [8],1,
rudr,Name,Value,Level of concern
rudr,----------------------------,---------,------------------------------
rudr,Overall repository size,,
rudr,* Commits,,
rudr,* Count,660,
rudr,* Total size,416 KiB,
rudr,* Trees,,
rudr,* Count,1.69 k,
rudr,* Total size,620 KiB,
rudr,* Total tree entries,16.3 k,
rudr,* Blobs,,
rudr,* Count,1.54 k,
rudr,* Total size,13.7 MiB,
rudr,* Annotated tags,,
rudr,* Count,0,
rudr,* References,,
rudr,* Count,7,
rudr,* Branches,1,
rudr,* Tags,2,
rudr,* Remote-tracking refs,4,
rudr,,,
rudr,Biggest objects,,
rudr,* Commits,,
rudr,* Maximum size         [1],2.80 KiB,
rudr,* Maximum parents      [2],2,
rudr,* Trees,,
rudr,* Maximum entries      [3],22,
rudr,* Blobs,,
rudr,* Maximum size         [4],2.11 MiB,
rudr,,,
rudr,History structure,,
rudr,* Maximum history depth,482,
rudr,* Maximum tag depth,0,
rudr,,,
rudr,Biggest checkouts,,
rudr,* Number of directories  [5],38,
rudr,* Maximum path depth     [6],9,
rudr,* Maximum path length    [6],88 B,
rudr,* Number of files        [5],166,
rudr,* Total size of files    [7],2.98 MiB,
rudr,* Number of symlinks,0,
rudr,* Number of submodules,0,
envoy-wasm,Name,Value,Level of concern
envoy-wasm,----------------------------,---------,------------------------------
envoy-wasm,Overall repository size,,
envoy-wasm,* Commits,,
envoy-wasm,* Count,8.50 k,
envoy-wasm,* Total size,5.32 MiB,
envoy-wasm,* Trees,,
envoy-wasm,* Count,105 k,
envoy-wasm,* Total size,65.9 MiB,
envoy-wasm,* Total tree entries,1.73 M,
envoy-wasm,* Blobs,,
envoy-wasm,* Count,83.5 k,
envoy-wasm,* Total size,1.80 GiB,
envoy-wasm,* Annotated tags,,
envoy-wasm,* Count,0,
envoy-wasm,* References,,
envoy-wasm,* Count,8,
envoy-wasm,* Branches,1,
envoy-wasm,* Remote-tracking refs,7,
envoy-wasm,,,
envoy-wasm,Biggest objects,,
envoy-wasm,* Commits,,
envoy-wasm,* Maximum size         [1],49.4 KiB,*
envoy-wasm,* Maximum parents      [2],2,
envoy-wasm,* Trees,,
envoy-wasm,* Maximum entries      [3],112,
envoy-wasm,* Blobs,,
envoy-wasm,* Maximum size         [4],48.3 MiB,*****
envoy-wasm,,,
envoy-wasm,History structure,,
envoy-wasm,* Maximum history depth,7.51 k,
envoy-wasm,* Maximum tag depth,0,
envoy-wasm,,,
envoy-wasm,Biggest checkouts,,
envoy-wasm,* Number of directories  [5],2.04 k,*
envoy-wasm,* Maximum path depth     [6],10,*
envoy-wasm,* Maximum path length    [6],130 B,*
envoy-wasm,* Number of files        [5],7.45 k,
envoy-wasm,* Total size of files    [7],119 MiB,
envoy-wasm,* Number of symlinks     [8],2,
envoy-wasm,* Number of submodules,0,
nats-operator,Name,Value,Level of concern
nats-operator,----------------------------,---------,------------------------------
nats-operator,Overall repository size,,
nats-operator,* Commits,,
nats-operator,* Count,600,
nats-operator,* Total size,328 KiB,
nats-operator,* Trees,,
nats-operator,* Count,2.06 k,
nats-operator,* Total size,575 KiB,
nats-operator,* Total tree entries,16.2 k,
nats-operator,* Blobs,,
nats-operator,* Count,1.34 k,
nats-operator,* Total size,58.0 MiB,
nats-operator,* Annotated tags,,
nats-operator,* Count,16,
nats-operator,* References,,
nats-operator,* Count,26,
nats-operator,* Branches,1,
nats-operator,* Tags,17,
nats-operator,* Remote-tracking refs,8,
nats-operator,,,
nats-operator,Biggest objects,,
nats-operator,* Commits,,
nats-operator,* Maximum size         [1],1.58 KiB,
nats-operator,* Maximum parents      [2],2,
nats-operator,* Trees,,
nats-operator,* Maximum entries      [3],23,
nats-operator,* Blobs,,
nats-operator,* Maximum size         [4],48.2 MiB,*****
nats-operator,,,
nats-operator,History structure,,
nats-operator,* Maximum history depth,540,
nats-operator,* Maximum tag depth      [5],1,
nats-operator,,,
nats-operator,Biggest checkouts,,
nats-operator,* Number of directories  [6],69,
nats-operator,* Maximum path depth     [3],9,
nats-operator,* Maximum path length    [3],79 B,
nats-operator,* Number of files        [6],150,
nats-operator,* Total size of files    [7],48.4 MiB,
nats-operator,* Number of symlinks,0,
nats-operator,* Number of submodules,0,
medellinjs,Name,Value,Level of concern
medellinjs,----------------------------,---------,------------------------------
medellinjs,Overall repository size,,
medellinjs,* Commits,,
medellinjs,* Count,901,
medellinjs,* Total size,474 KiB,
medellinjs,* Trees,,
medellinjs,* Count,1.61 k,
medellinjs,* Total size,891 KiB,
medellinjs,* Total tree entries,23.9 k,
medellinjs,* Blobs,,
medellinjs,* Count,1.83 k,
medellinjs,* Total size,228 MiB,
medellinjs,* Annotated tags,,
medellinjs,* Count,0,
medellinjs,* References,,
medellinjs,* Count,14,
medellinjs,* Branches,1,
medellinjs,* Tags,2,
medellinjs,* Remote-tracking refs,11,
medellinjs,,,
medellinjs,Biggest objects,,
medellinjs,* Commits,,
medellinjs,* Maximum size         [1],2.04 KiB,
medellinjs,* Maximum parents      [2],2,
medellinjs,* Trees,,
medellinjs,* Maximum entries      [3],31,
medellinjs,* Blobs,,
medellinjs,* Maximum size         [4],1.04 MiB,
medellinjs,,,
medellinjs,History structure,,
medellinjs,* Maximum history depth,643,
medellinjs,* Maximum tag depth,0,
medellinjs,,,
medellinjs,Biggest checkouts,,
medellinjs,* Number of directories  [5],35,
medellinjs,* Maximum path depth     [6],4,
medellinjs,* Maximum path length    [5],54 B,
medellinjs,* Number of files        [7],165,
medellinjs,* Total size of files    [8],6.99 MiB,
medellinjs,* Number of symlinks,0,
medellinjs,* Number of submodules,0,
horovod,Name,Value,Level of concern
horovod,----------------------------,---------,------------------------------
horovod,Overall repository size,,
horovod,* Commits,,
horovod,* Count,1.98 k,
horovod,* Total size,1.19 MiB,
horovod,* Trees,,
horovod,* Count,7.58 k,
horovod,* Total size,4.45 MiB,
horovod,* Total tree entries,117 k,
horovod,* Blobs,,
horovod,* Count,6.66 k,
horovod,* Total size,148 MiB,
horovod,* Annotated tags,,
horovod,* Count,69,
horovod,* References,,
horovod,* Count,192,
horovod,* Branches,1,
horovod,* Tags,76,
horovod,* Remote-tracking refs,115,
horovod,,,
horovod,Biggest objects,,
horovod,* Commits,,
horovod,* Maximum size         [1],6.48 KiB,
horovod,* Maximum parents      [2],2,
horovod,* Trees,,
horovod,* Maximum entries      [3],62,
horovod,* Blobs,,
horovod,* Maximum size         [4],535 KiB,
horovod,,,
horovod,History structure,,
horovod,* Maximum history depth,1.36 k,
horovod,* Maximum tag depth      [5],1,
horovod,,,
horovod,Biggest checkouts,,
horovod,* Number of directories  [6],84,
horovod,* Maximum path depth     [7],5,
horovod,* Maximum path length    [7],94 B,
horovod,* Number of files        [8],512,
horovod,* Total size of files    [9],5.22 MiB,
horovod,* Number of symlinks    [10],2,
horovod,* Number of submodules  [11],19,
OpenAPI-Specification,Name,Value,Level of concern
OpenAPI-Specification,----------------------------,---------,------------------------------
OpenAPI-Specification,Overall repository size,,
OpenAPI-Specification,* Commits,,
OpenAPI-Specification,* Count,3.73 k,
OpenAPI-Specification,* Total size,1.93 MiB,
OpenAPI-Specification,* Trees,,
OpenAPI-Specification,* Count,7.22 k,
OpenAPI-Specification,* Total size,2.71 MiB,
OpenAPI-Specification,* Total tree entries,74.4 k,
OpenAPI-Specification,* Blobs,,
OpenAPI-Specification,* Count,4.15 k,
OpenAPI-Specification,* Total size,295 MiB,
OpenAPI-Specification,* Annotated tags,,
OpenAPI-Specification,* Count,6,
OpenAPI-Specification,* References,,
OpenAPI-Specification,* Count,26,
OpenAPI-Specification,* Branches,1,
OpenAPI-Specification,* Tags,15,
OpenAPI-Specification,* Remote-tracking refs,10,
OpenAPI-Specification,,,
OpenAPI-Specification,Biggest objects,,
OpenAPI-Specification,* Commits,,
OpenAPI-Specification,* Maximum size         [1],22.1 KiB,
OpenAPI-Specification,* Maximum parents      [2],2,
OpenAPI-Specification,* Trees,,
OpenAPI-Specification,* Maximum entries      [3],44,
OpenAPI-Specification,* Blobs,,
OpenAPI-Specification,* Maximum size         [4],1.06 MiB,
OpenAPI-Specification,,,
OpenAPI-Specification,History structure,,
OpenAPI-Specification,* Maximum history depth,1.52 k,
OpenAPI-Specification,* Maximum tag depth      [5],1,
OpenAPI-Specification,,,
OpenAPI-Specification,Biggest checkouts,,
OpenAPI-Specification,* Number of directories  [6],51,
OpenAPI-Specification,* Maximum path depth     [7],10,*
OpenAPI-Specification,* Maximum path length    [7],84 B,
OpenAPI-Specification,* Number of files        [6],189,
OpenAPI-Specification,* Total size of files    [8],4.75 MiB,
OpenAPI-Specification,* Number of symlinks     [9],7,
OpenAPI-Specification,* Number of submodules  [10],1,
website,Name,Value,Level of concern
website,----------------------------,---------,------------------------------
website,Overall repository size,,
website,* Commits,,
website,* Count,1.68 k,
website,* Total size,1.31 MiB,
website,* Trees,,
website,* Count,10.4 k,
website,* Total size,9.45 MiB,
website,* Total tree entries,210 k,
website,* Blobs,,
website,* Count,7.15 k,
website,* Total size,259 MiB,
website,* Annotated tags,,
website,* Count,0,
website,* References,,
website,* Count,16,
website,* Branches,1,
website,* Remote-tracking refs,15,
website,,,
website,Biggest objects,,
website,* Commits,,
website,* Maximum size         [1],2.72 KiB,
website,* Maximum parents      [2],2,
website,* Trees,,
website,* Maximum entries      [3],281,
website,* Blobs,,
website,* Maximum size         [4],5.20 MiB,
website,,,
website,History structure,,
website,* Maximum history depth,1.58 k,
website,* Maximum tag depth,0,
website,,,
website,Biggest checkouts,,
website,* Number of directories  [5],676,
website,* Maximum path depth     [6],9,
website,* Maximum path length    [6],177 B,*
website,* Number of files        [7],2.33 k,
website,* Total size of files    [8],174 MiB,
website,* Number of symlinks,0,
website,* Number of submodules,0,
solidus,Name,Value,Level of concern
solidus,----------------------------,---------,------------------------------
solidus,Overall repository size,,
solidus,* Commits,,
solidus,* Count,23.9 k,
solidus,* Total size,8.58 MiB,
solidus,* Trees,,
solidus,* Count,162 k,
solidus,* Total size,95.8 MiB,
solidus,* Total tree entries,2.38 M,
solidus,* Blobs,,
solidus,* Count,66.0 k,
solidus,* Total size,382 MiB,
solidus,* Annotated tags,,
solidus,* Count,81,
solidus,* References,,
solidus,* Count,137,
solidus,* Branches,1,
solidus,* Tags,102,
solidus,* Remote-tracking refs,34,
solidus,,,
solidus,Biggest objects,,
solidus,* Commits,,
solidus,* Maximum size         [1],4.75 KiB,
solidus,* Maximum parents      [2],2,
solidus,* Trees,,
solidus,* Maximum entries      [3],310,
solidus,* Blobs,,
solidus,* Maximum size         [4],2.63 MiB,
solidus,,,
solidus,History structure,,
solidus,* Maximum history depth,16.7 k,
solidus,* Maximum tag depth      [5],1,
solidus,,,
solidus,Biggest checkouts,,
solidus,* Number of directories  [6],693,
solidus,* Maximum path depth     [7],12,*
solidus,* Maximum path length    [8],137 B,*
solidus,* Number of files        [9],2.75 k,
solidus,* Total size of files   [10],19.7 MiB,
solidus,* Number of symlinks    [11],7,
solidus,* Number of submodules  [12],1,
ggplot2,Name,Value,Level of concern
ggplot2,----------------------------,---------,------------------------------
ggplot2,Overall repository size,,
ggplot2,* Commits,,
ggplot2,* Count,6.75 k,
ggplot2,* Total size,2.73 MiB,
ggplot2,* Trees,,
ggplot2,* Count,21.2 k,
ggplot2,* Total size,98.4 MiB,
ggplot2,* Total tree entries,2.38 M,
ggplot2,* Blobs,,
ggplot2,* Count,71.8 k,
ggplot2,* Total size,4.17 GiB,
ggplot2,* Annotated tags,,
ggplot2,* Count,16,
ggplot2,* References,,
ggplot2,* Count,123,
ggplot2,* Branches,1,
ggplot2,* Tags,42,
ggplot2,* Remote-tracking refs,80,
ggplot2,,,
ggplot2,Biggest objects,,
ggplot2,* Commits,,
ggplot2,* Maximum size         [1],2.95 KiB,
ggplot2,* Maximum parents      [2],2,
ggplot2,* Trees,,
ggplot2,* Maximum entries      [3],1.63 k,*
ggplot2,* Blobs,,
ggplot2,* Maximum size         [4],11.4 MiB,*
ggplot2,,,
ggplot2,History structure,,
ggplot2,* Maximum history depth,4.75 k,
ggplot2,* Maximum tag depth      [5],1,
ggplot2,,,
ggplot2,Biggest checkouts,,
ggplot2,* Number of directories  [6],182,
ggplot2,* Maximum path depth     [6],6,
ggplot2,* Maximum path length    [7],105 B,*
ggplot2,* Number of files        [6],4.20 k,
ggplot2,* Total size of files    [8],192 MiB,
ggplot2,* Number of symlinks,0,
ggplot2,* Number of submodules,0,
browser-compat-data,Name,Value,Level of concern
browser-compat-data,----------------------------,---------,------------------------------
browser-compat-data,Overall repository size,,
browser-compat-data,* Commits,,
browser-compat-data,* Count,18.4 k,
browser-compat-data,* Total size,14.5 MiB,
browser-compat-data,* Trees,,
browser-compat-data,* Count,44.4 k,
browser-compat-data,* Total size,431 MiB,
browser-compat-data,* Total tree entries,9.42 M,
browser-compat-data,* Blobs,,
browser-compat-data,* Count,70.9 k,
browser-compat-data,* Total size,1.95 GiB,
browser-compat-data,* Annotated tags,,
browser-compat-data,* Count,158,
browser-compat-data,* References,,
browser-compat-data,* Count,456,
browser-compat-data,* Branches,1,
browser-compat-data,* Tags,433,
browser-compat-data,* Remote-tracking refs,22,
browser-compat-data,,,
browser-compat-data,Biggest objects,,
browser-compat-data,* Commits,,
browser-compat-data,* Maximum size         [1],6.17 KiB,
browser-compat-data,* Maximum parents      [2],2,
browser-compat-data,* Trees,,
browser-compat-data,* Maximum entries      [3],1.04 k,*
browser-compat-data,* Blobs,,
browser-compat-data,* Maximum size         [4],962 KiB,
browser-compat-data,,,
browser-compat-data,History structure,,
browser-compat-data,* Maximum history depth,18.0 k,
browser-compat-data,* Maximum tag depth      [5],1,
browser-compat-data,,,
browser-compat-data,Biggest checkouts,,
browser-compat-data,* Number of directories  [6],55,
browser-compat-data,* Maximum path depth     [7],5,
browser-compat-data,* Maximum path length    [8],84 B,
browser-compat-data,* Number of files        [9],2.80 k,
browser-compat-data,* Total size of files    [9],23.8 MiB,
browser-compat-data,* Number of symlinks,0,
browser-compat-data,* Number of submodules,0,
mlpack,Name,Value,Level of concern
mlpack,----------------------------,---------,------------------------------
mlpack,Overall repository size,,
mlpack,* Commits,,
mlpack,* Count,31.3 k,
mlpack,* Total size,11.0 MiB,
mlpack,* Trees,,
mlpack,* Count,151 k,
mlpack,* Total size,103 MiB,
mlpack,* Total tree entries,2.61 M,
mlpack,* Blobs,,
mlpack,* Count,93.9 k,
mlpack,* Total size,1.33 GiB,
mlpack,* Annotated tags,,
mlpack,* Count,0,
mlpack,* References,,
mlpack,* Count,63,
mlpack,* Branches,1,
mlpack,* Tags,50,
mlpack,* Remote-tracking refs,12,
mlpack,,,
mlpack,Biggest objects,,
mlpack,* Commits,,
mlpack,* Maximum size         [1],70.5 KiB,*
mlpack,* Maximum parents      [2],2,
mlpack,* Trees,,
mlpack,* Maximum entries      [3],5.75 k,*****
mlpack,* Blobs,,
mlpack,* Maximum size         [4],39.5 MiB,****
mlpack,,,
mlpack,History structure,,
mlpack,* Maximum history depth,19.6 k,
mlpack,* Maximum tag depth,0,
mlpack,,,
mlpack,Biggest checkouts,,
mlpack,* Number of directories  [5],1.10 k,
mlpack,* Maximum path depth     [6],10,*
mlpack,* Maximum path length    [7],177 B,*
mlpack,* Number of files        [8],12.7 k,
mlpack,* Total size of files    [9],263 MiB,
mlpack,* Number of symlinks     [8],20,
mlpack,* Number of submodules  [10],1,
envoy,Name,Value,Level of concern
envoy,----------------------------,---------,------------------------------
envoy,Overall repository size,,
envoy,* Commits,,
envoy,* Count,26.6 k,
envoy,* Total size,22.3 MiB,
envoy,* Trees,,
envoy,* Count,253 k,
envoy,* Total size,220 MiB,
envoy,* Total tree entries,5.72 M,
envoy,* Blobs,,
envoy,* Count,174 k,
envoy,* Total size,2.88 GiB,
envoy,* Annotated tags,,
envoy,* Count,2,
envoy,* References,,
envoy,* Count,367,
envoy,* Branches,1,
envoy,* Tags,194,
envoy,* Remote-tracking refs,172,
envoy,,,
envoy,Biggest objects,,
envoy,* Commits,,
envoy,* Maximum size         [1],21.0 KiB,
envoy,* Maximum parents      [2],2,
envoy,* Trees,,
envoy,* Maximum entries      [3],203,
envoy,* Blobs,,
envoy,* Maximum size         [4],60.9 MiB,******
envoy,,,
envoy,History structure,,
envoy,* Maximum history depth,23.9 k,
envoy,* Maximum tag depth      [5],1,
envoy,,,
envoy,Biggest checkouts,,
envoy,* Number of directories  [6],2.69 k,*
envoy,* Maximum path depth     [7],12,*
envoy,* Maximum path length    [7],170 B,*
envoy,* Number of files        [6],11.6 k,
envoy,* Total size of files    [8],110 MiB,
envoy,* Number of symlinks     [9],10,
envoy,* Number of submodules  [10],1,
nats.go,Name,Value,Level of concern
nats.go,----------------------------,---------,------------------------------
nats.go,Overall repository size,,
nats.go,* Commits,,
nats.go,* Count,2.30 k,
nats.go,* Total size,1.20 MiB,
nats.go,* Trees,,
nats.go,* Count,3.19 k,
nats.go,* Total size,2.65 MiB,
nats.go,* Total tree entries,73.4 k,
nats.go,* Blobs,,
nats.go,* Count,4.18 k,
nats.go,* Total size,154 MiB,
nats.go,* Annotated tags,,
nats.go,* Count,51,
nats.go,* References,,
nats.go,* Count,138,
nats.go,* Branches,1,
nats.go,* Tags,61,
nats.go,* Remote-tracking refs,76,
nats.go,,,
nats.go,Biggest objects,,
nats.go,* Commits,,
nats.go,* Maximum size         [1],1.85 KiB,
nats.go,* Maximum parents      [2],2,
nats.go,* Trees,,
nats.go,* Maximum entries      [3],48,
nats.go,* Blobs,,
nats.go,* Maximum size         [4],282 KiB,
nats.go,,,
nats.go,History structure,,
nats.go,* Maximum history depth,1.85 k,
nats.go,* Maximum tag depth      [5],1,
nats.go,,,
nats.go,Biggest checkouts,,
nats.go,* Number of directories  [6],41,
nats.go,* Maximum path depth     [6],4,
nats.go,* Maximum path length    [6],54 B,
nats.go,* Number of files        [3],165,
nats.go,* Total size of files    [7],2.53 MiB,
nats.go,* Number of symlinks,0,
nats.go,* Number of submodules,0,
agent,Name,Value,Level of concern
agent,----------------------------,---------,------------------------------
agent,Overall repository size,,
agent,* Commits,,
agent,* Count,5.38 k,
agent,* Total size,4.92 MiB,
agent,* Trees,,
agent,* Count,46.7 k,
agent,* Total size,20.7 MiB,
agent,* Total tree entries,538 k,
agent,* Blobs,,
agent,* Count,45.7 k,
agent,* Total size,891 MiB,
agent,* Annotated tags,,
agent,* Count,171,
agent,* References,,
agent,* Count,537,
agent,* Branches,1,
agent,* Tags,234,
agent,* Remote-tracking refs,302,
agent,,,
agent,Biggest objects,,
agent,* Commits,,
agent,* Maximum size         [1],192 KiB,***
agent,* Maximum parents      [2],2,
agent,* Trees,,
agent,* Maximum entries      [3],293,
agent,* Blobs,,
agent,* Maximum size         [4],20.9 MiB,**
agent,,,
agent,History structure,,
agent,* Maximum history depth,3.18 k,
agent,* Maximum tag depth      [5],1,
agent,,,
agent,Biggest checkouts,,
agent,* Number of directories  [6],1.97 k,
agent,* Maximum path depth     [7],13,*
agent,* Maximum path length    [8],153 B,*
agent,* Number of files        [6],9.13 k,
agent,* Total size of files    [9],94.3 MiB,
agent,* Number of symlinks    [10],15,
agent,* Number of submodules,0,
contributor_covenant,Name,Value,Level of concern
contributor_covenant,----------------------------,---------,------------------------------
contributor_covenant,Overall repository size,,
contributor_covenant,* Commits,,
contributor_covenant,* Count,2.12 k,
contributor_covenant,* Total size,1.02 MiB,
contributor_covenant,* Trees,,
contributor_covenant,* Count,5.41 k,
contributor_covenant,* Total size,1.34 MiB,
contributor_covenant,* Total tree entries,37.2 k,
contributor_covenant,* Blobs,,
contributor_covenant,* Count,2.58 k,
contributor_covenant,* Total size,23.0 MiB,
contributor_covenant,* Annotated tags,,
contributor_covenant,* Count,0,
contributor_covenant,* References,,
contributor_covenant,* Count,28,
contributor_covenant,* Branches,1,
contributor_covenant,* Tags,3,
contributor_covenant,* Remote-tracking refs,24,
contributor_covenant,,,
contributor_covenant,Biggest objects,,
contributor_covenant,* Commits,,
contributor_covenant,* Maximum size         [1],5.11 KiB,
contributor_covenant,* Maximum parents      [2],2,
contributor_covenant,* Trees,,
contributor_covenant,* Maximum entries      [3],72,
contributor_covenant,* Blobs,,
contributor_covenant,* Maximum size         [4],618 KiB,
contributor_covenant,,,
contributor_covenant,History structure,,
contributor_covenant,* Maximum history depth,1.59 k,
contributor_covenant,* Maximum tag depth,0,
